s_adj,sex,age,unit,geo\time	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
NSA,T,TOTAL,PC,SE	9.4 	8.8 	9.6 	9.9 	8.2 	6.7 	5.6 i	5.8 b	6.0 	6.6 	7.4 	7.7 	7.1 	6.1 	6.2 	8.3 	8.6 	7.8 	8.0 	8.0 	7.9 	7.4 
NSA,T,TOTAL,PC,SI	: 	: 	6.9 	6.9 	7.4 	7.3 	6.7 	6.2 	6.3 	6.7 	6.3 	6.5 	6.0 	4.9 	4.4 	5.9 	7.3 	8.2 	8.9 	10.1 	9.7 	9.1 
NSA,T,TOTAL,PC,SK	: 	: 	: 	: 	12.7 	16.5 	18.9 	19.5 	18.8 	17.7 	18.4 	16.4 	13.5 	11.2 	9.6 	12.1 	14.5 	13.7 i	14.0 	14.2 	13.2 	11.5 
NSA,T,TOTAL,PC,UK	9.3 	8.5 	7.9 	6.8 	6.1 	5.9 	5.4 	5.0 	5.1 	5.0 	4.7 	4.8 	5.4 	5.3 	5.6 	7.6 	7.8 	8.1 	7.9 	7.6 	6.1 	: 
NSA,T,Y25-74,PC,AT	3.9 	3.9 	4.5 	4.4 	4.5 	4.0 	3.7 	3.7 	4.1 	4.3 i	4.7 	4.7 	4.5 	4.1 	3.4 	4.4 	4.1 	3.9 	4.2 	4.7 	4.9 	: 
NSA,T,Y25-74,PC,BE	8.1 	8.1 	8.1 	7.8 	8.0 	7.1 	5.8 	5.4 	6.4 	6.7 	7.0 	7.1 	7.0 	6.3 	5.9 	6.6 	7.0 	6.0 	6.4 	7.1 	7.3 	7.2 
NSA,T,Y25-74,PC,BG	: 	: 	: 	: 	: 	: 	14.5 	17.2 	16.2 	12.4 	10.8 	9.0 	8.1 	6.2 	5.0 	6.1 	9.2 i	10.1 	11.0 	11.8 	10.7 	8.7 
NSA,T,Y25-74,PC,CY	: 	: 	: 	: 	: 	: 	4.2 	3.4 	3.0 	3.6 	4.0 i	4.3 	3.9 	3.3 	3.1 	4.4 	5.1 	6.4 	10.2 	13.6 	14.0 	13.9 
NSA,T,Y25-74,PC,CZ	3.4 	3.3 	3.2 	4.1 	5.3 	7.2 	7.4 	6.9 	6.2 	6.6 	7.0 	6.8 	6.2 	4.8 	3.9 	5.8 	6.4 	5.9 	6.0 	6.1 	5.4 	4.5 
NSA,T,Y25-74,PC,DE	8.4 	8.1 	8.8 	9.5 	9.3 	8.5 	7.9 	7.7 	8.5 	9.5 	10.0 	10.6 i	9.7 	8.1 	7.0 	7.2 	6.6 	5.5 	5.1 	4.9 	4.7 	4.4 
NSA,T,Y25-74,PC,DK	7.2 	6.1 	5.6 	4.7 	4.4 	4.4 	4.0 	3.9 	4.1 	4.8 	5.1 	4.2 	3.2 i	3.2 	2.6 	4.9 	6.3 	6.3 	6.3 	5.9 	5.5 	5.3 
